row,date,tweet,polarity
0,8-Jul-20,#plnvangke @pln_123 cuma pake 350 kwh kok dibebankan 1.562 kwh?,Negative
1,8-Jul-20,asal usul tagihan listrik ajaib by @pln_123 #plnvangke,Negative
2,8-Jul-20,@pln_123 ini pln kalo nyatat kira2 dong jangan ngawur. asal jeplak aja karena banyak kegiatan dirumah. bisa diliat itu naiknya ga kira3#plnvangke,Negative
3,8-Jul-20,#plnvangke woii anjir akhir2 ini hampir setiap hari pasti mati lampu. lo kira gue gaada kerjaan?????!!!!! skripsi gue di ujung tanduk nih #pouting face# #pouting face# #pouting face#,Negative
4,8-Jul-20,"dear #plnvangke pak dengerin nih listrik mati dah 6 jam gw kebelet ee kamar mandi gelap ahirnya w paksain tuh gelap""an jongkok dah tu perasaan posisi udah pas nih d atas lobang ternyata kondisi pantat ketinggian al hasil kemana"" dah tu bubur coklat :3 nanjeng lah",Negative
7,7-Jul-20,bayar listrik naik drastis. telfon call center lewat sosmed aplikasi bapuk semua ga ada respon. akhirnya tetep dibayar meskipun ngap2an ditengah potongan gaji. karena kalo telat sehari aja petugasnya matiin listrik bahkan lamaan dikit aliran nya dicabut. #plnvangke !!!,Negative
8,7-Jul-20,rt @keset_teles: gak ada ahlak ni bocah. n#plnvangke n#indomaret n#stoppolitisasinewnormal n#rose n#bacotsantuy,Negative
9,6-Jul-20,listrik naik 2 kali lipat tapi si vangke @pln_123 bilang gak ada kenaikan tarif listrik lo gratisin yang 450 sama 900 buat subsidi silang ? atau buat bantuin bayar utang lo yg udah bablas? #plnvangke,Negative
10,6-Jul-20,"""tagihan listrik per maret udh mulai naik. maret-juni +/- naik 50rb. petugas meteran ga dtg ganti lapor via wa. tiba2 juli naiknya -/+ 150rban blgnya slma gda petugas diambil rata2 pmkaian bln sblmnya. &lt;&lt;rata2 bln sblmnya tapi jdnya lbh mahal&gt;&gt;trus juli naik lagi. #plnvangke""",Negative
12,5-Jul-20,@ptpln2 #pln jangan suka mati-nyalain listrik di jam segini dong! tagihan jadi bengkak dan barang2 bisa rusak!!!! mati lampu tuh sekalian 5 jam jgn 5 detik!!!! jangan nyusahin napah #plnvangke,Negative
13,4-Jul-20,pelanggan keluhkan tagihan listrik pln buka hitung-hitungannya n#pln #plnvangke @pln_123,Negative
14,4-Jul-20,seharian listrik mati nyala ampe berkali xb2 dan sampe skrg pun masih! nklo alat electronic gw rusakmau gantiin emng?? n#plnvangke,Negative
15,4-Jul-20,yang biasanya under 100k bulan kemaren jdi 350k oke kemaren kaga ngitung sekarang 400k just mesin air rice cooker kulkas lampu setrika rarely isi daya ponsel tv kipas angin nmasih kaga ngitung tah? nberasa tinggal dikota #weary face# @pln_123 n#plnvangke #plnsudahgila,Negative
16,3-Jul-20,luar biasa @pln_123 bagaimama ini pak @erickthohir tagihan listrik saya meroket bukan pendapatan saya meroket pemakaian listrik wajar cenderung berkurang katanya pln tdk ada kenaikan tarif ?? #indonesiamelawancovid19 #plnvangke #listrikuntukrakyat #listriktoday,Negative
